name,start_time,duration,"data"
"Async Serial",1.00630206,0.00030436,"d"
"Async Serial",1.0066224,0.00030436,"7"
"Async Serial",1.00694274,0.00030436,"b"
"Async Serial",1.00726308,0.00030436,"f"
"Async Serial",1.00758344,0.00030436,"6"
"Async Serial",1.00790378,0.00030436,"c"
"Async Serial",1.00822412,0.00030436,"e"
"Async Serial",1.00854446,0.00030436,"2"
"Async Serial",1.0088648,0.00030436,"e"
"Async Serial",1.00918516,0.00030436,"3"
"Async Serial",1.0095055,0.00030436,"b"
"Async Serial",1.00982584,0.00030436,"e"
"Async Serial",1.01014618,0.00030436,"5"
"Async Serial",1.01046654,0.00030436,"1"
"Async Serial",1.01078688,0.00030436,"a"
"Async Serial",1.01110722,0.00030436,"a"
"Async Serial",1.01142756,0.00030436,"7"
"Async Serial",1.01174792,0.00030436,"0"
"Async Serial",1.01206826,0.00030436,"7"
"Async Serial",1.0123886,0.00030436,"6"
"Async Serial",1.01270894,0.00030436,"8"
"Async Serial",1.01302928,0.00030436,"0"
"Async Serial",1.01334964,0.00030436,"b"
"Async Serial",1.01366998,0.00030436,"6"
"Async Serial",1.01399032,0.00030436,"f"
"Async Serial",1.01431066,0.00030436,"1"
"Async Serial",1.01463102,0.00030436,"4"
"Async Serial",1.01495136,0.00030436,"5"
"Async Serial",1.0152717,0.00030436,"1"
"Async Serial",1.01559204,0.00030436,"1"
"Async Serial",1.01591238,0.00030436,"f"
"Async Serial",1.01623274,0.00030436,"b"
"Async Serial",1.01655308,0.00030436,"c"
"Async Serial",1.01687342,0.00030436,"9"
"Async Serial",1.01719376,0.00030436,"d"
"Async Serial",1.01751412,0.00030436,"a"
"Async Serial",1.01783446,0.00030436,"e"
"Async Serial",1.0181548,0.00030436,"9"
"Async Serial",1.01847514,0.00030436,"e"
"Async Serial",1.0187955,0.00030436,"3"
"Async Serial",1.01911584,0.00030436,"2"
"Async Serial",1.01943618,0.00030436,"\n"
"Async Serial",1.01975652,0.00030436,"\n"
"Async Serial",1.02007686,0.00030436,"["
"Async Serial",1.02039722,0.00030436,"M"
"Async Serial",1.02071756,0.00030436,"S"
"Async Serial",1.0210379,0.00030436,"G"
"Async Serial",1.02135824,0.00030436,"]"
"Async Serial",1.0216786,0.00030436," "
"Async Serial",1.02199894,0.00030436,"A"
"Async Serial",1.02231928,0.00030436,"c"
"Async Serial",1.02263962,0.00030436,"t"
"Async Serial",1.02295998,0.00030436,"i"
"Async Serial",1.02328032,0.00030436,"v"
"Async Serial",1.02360066,0.00030436,"i"
"Async Serial",1.023921,0.00030436,"t"
"Async Serial",1.02424134,0.00030436,"y"
"Async Serial",1.0245617,0.00030436," "
"Async Serial",1.02488204,0.00030436,"f"
"Async Serial",1.02520238,0.00030436,"r"
"Async Serial",1.02552272,0.00030436,"o"
"Async Serial",1.02584308,0.00030436,"m"
"Async Serial",1.02616342,0.00030436,":"
"Async Serial",1.02648376,0.00030436," "
"Async Serial",1.0268041,0.00030436,"6"
"Async Serial",1.02712444,0.00030436,"5"
"Async Serial",1.0274448,0.00030436,"e"
"Async Serial",1.02776514,0.00030436,"c"
"Async Serial",1.02808548,0.00030436,"3"
"Async Serial",1.02840582,0.00030436,"1"
"Async Serial",1.02872618,0.00030436,"2"
"Async Serial",1.02904652,0.00030436,"3"
"Async Serial",1.02936686,0.00030436,"2"
"Async Serial",1.0296872,0.00030436,"5"
"Async Serial",1.03000754,0.00030436,"f"
"Async Serial",1.0303279,0.00030436,"4"
"Async Serial",1.03064824,0.00030436,"3"
"Async Serial",1.03096858,0.00030436,"f"
"Async Serial",1.03128892,0.00030436,"4"
"Async Serial",1.03160928,0.00030436,"0"
"Async Serial",1.03192962,0.00030436,"1"
"Async Serial",1.03224996,0.00030436,"0"
"Async Serial",1.0325703,0.00030436,"7"
"Async Serial",1.03289066,0.00030436,"d"
"Async Serial",1.033211,0.00030436,"f"
"Async Serial",1.03353134,0.00030436,"c"
"Async Serial",1.03385168,0.00030436,"b"
"Async Serial",1.03417202,0.00030436,"a"
"Async Serial",1.03449238,0.00030436,"6"
